"i","t","LApprox","Residual","PercentDeviation"
0,0,271.417852851021,-2.842170943040401e-14,-1.0471569622947552e-14
1,0.1,271.4085196186285,-0.009333232392549462,-0.003438695094855235
2,0.2,271.4085858023523,-0.009267048668704092,-0.003414310654719789
3,0.3,271.4124741552588,-0.005378695762232155,-0.00198170301096018
4,0.4,271.4163206686183,-0.0015321824027125786,-0.0005645105458680275
5,0.5,271.41785285102105,2.842170943040401e-14,1.0471569622947552e-14
6,0.6,271.4163206686183,-0.0015321824027125786,-0.0005645105458680275
7,0.7,271.4124741552588,-0.005378695762232155,-0.00198170301096018
8,0.8,271.4085858023523,-0.009267048668704092,-0.003414310654719789
9,0.9,271.4085196186285,-0.009333232392549462,-0.003438695094855235
10,1,271.417852851021,-2.842170943040401e-14,-1.0471569622947552e-14
